"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
15.765,0.084773,0,2.2653,-0.70541,0
15.815,0.081914,0,2.1838,-0.75374,0
15.707,0.075584,0,2.326,-0.65741,0
15.637,0.050444,0,2.3753,-0.60841,0
15.832,0.06452,0,2.1416,-0.80356,0
15.844,0.048525,0,2.0958,-0.85299,0
15.853,0.034194,0,2.0484,-0.90189,0
15.861,0.021237,0,1.9998,-0.95065,0
15.549,-0.0054865,0,2.4223,-0.55929,0
15.443,-0.10168,0,2.466,-0.50994,0
15.312,-0.25483,0,2.5092,-0.46143,0
15.159,-0.51267,0,2.5514,-0.41471,0
15.199,-1.1086,0,2.5928,-0.36788,0
15.259,-2.0919,0,2.6291,-0.31715,0
14.646,-2.7847,0,2.6579,-0.27522,0
13.658,-3.5165,0,2.7185,-0.2336,0
13.204,-3.6435,0,2.7505,-0.20928,0
12.823,-3.6427,0,2.7724,-0.18727,0
12.916,-2.9277,0,2.813,-0.17299,0
12.537,-3.5844,0,2.7887,-0.1677,0
14.132,0.33928,0,2.901,-0.17702,0
14.45,1.6154,0,2.9345,-0.17579,0
13.636,-1.1617,0,2.8631,-0.17657,0
14.478,2.4746,0,2.962,-0.16742,0
14.32,2.9868,0,2.9831,-0.1516,0
15.868,0.0097801,0,1.95,-1,0
15.775,0.10761,0,2.2388,-0.6864,0
15.801,0.10777,0,2.2047,-0.70046,0
15.73,0.10542,0,2.2864,-0.65616,0
15.826,0.10877,0,2.1639,-0.70817,0
15.839,0.084795,0,2.1321,-0.756,0
15.663,0.10361,0,2.3305,-0.60774,0
15.568,0.076533,0,2.3761,-0.55927,0
15.85,0.064441,0,2.0906,-0.80501,0
15.858,0.047193,0,2.0457,-0.85363,0
15.865,0.032418,0,1.9985,-0.90214,0
15.871,0.019574,0,1.9498,-0.95069,0
15.446,0.014098,0,2.4203,-0.50981,0
15.294,-0.093928,0,2.4628,-0.46047,0
15.096,-0.26188,0,2.5043,-0.4135,0
14.91,-0.60255,0,2.5462,-0.3687,0
14.869,-1.4037,0,2.5849,-0.32126,0
14.236,-2.1178,0,2.61,-0.26554,0
13.239,-3.1698,0,2.6701,-0.23064,0
13.51,-2.7145,0,2.6416,-0.23952,0
12.827,-3.5273,0,2.6912,-0.21491,0
12.696,-3.8479,0,2.7235,-0.20168,0
12.373,-4.0031,0,2.7468,-0.17938,0
12.205,-4.0224,0,2.7654,-0.16242,0
12.618,-3.0937,0,2.8126,-0.15943,0
12.378,-3.5642,0,2.7964,-0.15565,0
14.033,0.98772,0,2.9207,-0.16504,0
13.605,-0.65105,0,2.8789,-0.16826,0
14.221,1.913,0,2.9462,-0.16216,0
13.072,-1.8555,0,2.85,-0.16109,0
12.824,-2.5397,0,2.8306,-0.15948,0
14.182,2.5349,0,2.968,-0.15106,0
14.096,2.9232,0,2.9851,-0.13631,0
15.878,0.0087364,0,1.9,-1,0
15.762,0.13262,0,2.2423,-0.65102,0
15.8,0.1445,0,2.1974,-0.65361,0
15.7,0.14633,0,2.2862,-0.60676,0
15.835,0.14551,0,2.1549,-0.65708,0
15.852,0.1095,0,2.1204,-0.70788,0
15.861,0.082883,0,2.0831,-0.75694,0
15.608,0.14772,0,2.3301,-0.55906,0
15.478,0.12221,0,2.3737,-0.50997,0
15.867,0.061608,0,2.0412,-0.8056,0
15.872,0.044209,0,1.9961,-0.85393,0
15.876,0.029702,0,1.9486,-0.90221,0
15.881,0.017401,0,1.8998,-0.95069,0
15.311,0.055777,0,2.4162,-0.46031,0
15.098,-0.055983,0,2.4576,-0.41151,0
14.827,-0.22051,0,2.4988,-0.36741,0
14.64,-0.67245,0,2.5395,-0.32622,0
14.385,-1.3534,0,2.5698,-0.27993,0
13.495,-2.1101,0,2.6101,-0.23445,0
12.56,-2.8878,0,2.6521,-0.2077,0
12.813,-2.4573,0,2.6314,-0.21333,0
12.297,-3.2609,0,2.67,-0.19825,0
12.23,-3.7673,0,2.6993,-0.19063,0
11.96,-4.1016,0,2.7207,-0.1671,0
11.928,-4.2515,0,2.7444,-0.15441,0
12.039,-4.0714,0,2.7757,-0.14424,0
11.958,-4.2055,0,2.7629,-0.14573,0
12.134,-3.8349,0,2.7897,-0.1428,0
12.293,-3.4514,0,2.8052,-0.14463,0
13.881,1.3585,0,2.9336,-0.15278,0
13.558,0.53313,0,2.9142,-0.14839,0
13.558,0.04952,0,2.9,-0.1561,0
13.145,-1.3712,0,2.8642,-0.157,0
13.372,-0.54169,0,2.8855,-0.15571,0
13.989,2.069,0,2.9546,-0.14746,0
12.72,-2.1841,0,2.8457,-0.14624,0
12.576,-2.5983,0,2.834,-0.14483,0
12.374,-3.1661,0,2.8162,-0.14297,0
13.939,2.5084,0,2.9719,-0.13492,0
13.932,2.8324,0,2.9864,-0.12225,0
15.886,0.0074895,0,1.85,-1,0
15.747,0.17144,0,2.2425,-0.60996,0
15.798,0.19094,0,2.1953,-0.60693,0
15.663,0.20309,0,2.2842,-0.55912,0
15.848,0.19027,0,2.1498,-0.60859,0
15.868,0.13955,0,2.1108,-0.65902,0
15.876,0.1039,0,2.0737,-0.70861,0
15.88,0.077462,0,2.0344,-0.75739,0
15.536,0.21428,0,2.3274,-0.51013,0
15.36,0.18989,0,2.37,-0.46075,0
15.882,0.05691,0,1.9923,-0.80565,0
15.883,0.040096,0,1.9466,-0.85406,0
15.886,0.026325,0,1.8987,-0.90219,0
15.889,0.014899,0,1.8497,-0.95041,0
15.132,0.1191,0,2.412,-0.41035,0
14.846,0.032106,0,2.4526,-0.36186,0
14.546,-0.15445,0,2.494,-0.32116,0
14.377,-0.58879,0,2.5286,-0.28412,0
13.73,-1.0468,0,2.562,-0.2286,0
14.064,-0.79408,0,2.5445,-0.24624,0
12.883,-1.8074,0,2.6056,-0.20608,0
13.374,-1.2832,0,2.5778,-0.21622,0
12.2,-2.5014,0,2.6396,-0.18797,0
12.381,-2.0594,0,2.6223,-0.1897,0
12.005,-2.8386,0,2.6535,-0.18081,0
11.983,-3.4603,0,2.679,-0.18154,0
11.88,-3.874,0,2.7006,-0.17066,0
11.772,-4.295,0,2.7284,-0.14597,0
11.821,-4.3388,0,2.7468,-0.14031,0
11.896,-4.2191,0,2.7729,-0.1296,0
11.832,-4.3429,0,2.7595,-0.12895,0
11.976,-4.0113,0,2.786,-0.12979,0
12.063,-3.7552,0,2.7981,-0.13001,0
13.507,0.9229,0,2.9268,-0.13845,0
13.737,1.6013,0,2.9436,-0.1405,0
13.263,0.2687,0,2.9116,-0.13486,0
13.22,-0.15141,0,2.8996,-0.1404,0
12.78,-1.825,0,2.8565,-0.1431,0
13.015,-1.2599,0,2.8699,-0.14775,0
13.101,-0.63224,0,2.8873,-0.14185,0
13.783,2.1195,0,2.9607,-0.13205,0
12.337,-3.0528,0,2.8223,-0.13631,0
12.356,-2.7666,0,2.8332,-0.13037,0
12.473,-2.3993,0,2.8437,-0.13175,0
12.13,-3.513,0,2.8083,-0.12907,0
13.733,2.3921,0,2.974,-0.11809,0
13.813,2.7221,0,2.9873,-0.10892,0
15.893,0.0061109,0,1.8,-1,0
15.799,0.25351,0,2.1924,-0.56016,0
15.729,0.23881,0,2.2382,-0.55964,0
15.614,0.28501,0,2.2809,-0.51029,0
15.891,0.17709,0,2.1044,-0.61004,0
15.867,0.24839,0,2.1459,-0.5601,0
15.896,0.12773,0,2.065,-0.65975,0
15.896,0.094418,0,2.0266,-0.70879,0
15.895,0.070004,0,1.9864,-0.75757,0
15.443,0.30667,0,2.3234,-0.46161,0
15.202,0.28395,0,2.3653,-0.41152,0
15.894,0.050908,0,1.9432,-0.80592,0
15.894,0.035344,0,1.8972,-0.85381,0
15.895,0.022518,0,1.8485,-0.90192,0
15.896,0.01212,0,1.7994,-0.95007,0
14.923,0.23108,0,2.4061,-0.35951,0
14.666,0.18017,0,2.446,-0.31792,0
14.461,-0.014995,0,2.4865,-0.2886,0
14.281,-0.22681,0,2.5127,-0.25368,0
13.7,-0.11656,0,2.5337,-0.20013,0
14.048,0.13093,0,2.5148,-0.21138,0
12.978,-1.2126,0,2.584,-0.19743,0
12.548,-1.5201,0,2.6029,-0.18595,0
13.34,-0.4313,0,2.5524,-0.19249,0
12.034,-2.0639,0,2.6295,-0.16838,0
12.188,-1.6568,0,2.6154,-0.16918,0
11.831,-3.0114,0,2.6614,-0.16822,0
11.907,-2.3689,0,2.6407,-0.16344,0
11.739,-3.4553,0,2.6791,-0.15895,0
11.705,-4.0733,0,2.7076,-0.14401,0
11.702,-3.8494,0,2.6962,-0.14931,0
11.707,-4.2299,0,2.717,-0.1389,0
11.748,-4.3557,0,2.7314,-0.13323,0
11.792,-4.4002,0,2.7449,-0.1243,0
11.857,-4.2992,0,2.7711,-0.11554,0
11.84,-4.3901,0,2.7585,-0.11427,0
11.896,-4.1342,0,2.7834,-0.11584,0
11.946,-3.9249,0,2.7947,-0.11552,0
13.256,0.64191,0,2.9234,-0.12606,0
13.491,1.2151,0,2.9363,-0.13138,0
13.63,1.7375,0,2.9505,-0.1297,0
13.025,0.063327,0,2.9107,-0.12025,0
12.981,-0.3371,0,2.8989,-0.1268,0
12.537,-2.0675,0,2.8538,-0.12933,0
12.767,-1.5541,0,2.8656,-0.13665,0
12.948,-1.0878,0,2.8764,-0.1405,0
12.878,-0.79081,0,2.887,-0.12901,0
13.586,1.9808,0,2.9615,-0.11715,0
12.164,-3.3137,0,2.8166,-0.12594,0
12.29,-2.9781,0,2.8268,-0.1298,0
12.216,-2.8974,0,2.8323,-0.11845,0
12.298,-2.5796,0,2.8421,-0.11819,0
12,-3.694,0,2.805,-0.11552,0
13.611,2.2685,0,2.9752,-0.10433,0
13.727,2.5911,0,2.9878,-0.096358,0
15.898,0.004675,0,1.7496,-0.99955,0
15.707,0.32782,0,2.2347,-0.511,0
15.806,0.3412,0,2.1881,-0.51187,0
